feedback,category,faculty
"Professor Sharma explains every concept with real-world examples. Best course I've taken!",Computer Science,Dr. Sharma
"The lab equipment is broken half the time and nobody fixes it. Very frustrating.",Electronics,Dr. Mehta
"Average course. Nothing special but nothing terrible either.",Mathematics,Dr. Rao
"I love how interactive the sessions are. Group projects really helped me learn.",Business,Dr. Patel
"Assignments are way too hard with no guidance. I feel completely lost.",Physics,Dr. Kumar
"The cafeteria food quality has dropped significantly this semester.",Facilities,Admin
"Really enjoyed the guest lectures. Industry speakers gave great insights.",Computer Science,Dr. Sharma
"Wi-Fi in the library barely works. Can't do research without internet.",Facilities,Admin
"The professor rushes through slides and doesn't answer questions properly.",Chemistry,Dr. Singh
"Best faculty member I've ever had. She goes above and beyond for students.",Mathematics,Dr. Rao
"The new sports complex is amazing! Great addition to campus.",Facilities,Admin
"Exam dates clash with other subjects. Poor scheduling by administration.",Administration,Admin
"Online portal for assignments crashes every deadline. Please fix it!",IT Services,Admin
"Lab sessions are well-organized and the TA is very helpful.",Electronics,Dr. Mehta
"Terrible attendance system. Marked me absent when I was present.",Administration,Admin
"The AI elective course content is cutting-edge and very relevant.",Computer Science,Dr. Sharma
"Reading materials are outdated. Same textbooks from 2010!",Physics,Dr. Kumar
"Loved the field trip to the tech park. Practical exposure was invaluable.",Business,Dr. Patel
"Parking is a nightmare on campus. Need more space urgently.",Facilities,Admin
"Course was okay. Could use more hands-on projects.",Chemistry,Dr. Singh
"The mentor program has been life-changing. My mentor genuinely cares.",Administration,Admin
"Lectures are boring and monotonous. PowerPoint reading is not teaching.",Mathematics,Dr. Rao
"Brilliant professor who makes even tough topics seem easy and fun.",Computer Science,Dr. Sharma
"No feedback given on assignments. We don't know where we're going wrong.",Electronics,Dr. Mehta
"The counseling center staff are incredibly supportive during tough times.",Administration,Admin
"Syllabus is too packed. There's no time to actually understand topics.",Physics,Dr. Kumar
"Group study rooms in library are excellent. Always clean and available.",Facilities,Admin
"Professor cancels classes frequently without prior notice. Unprofessional.",Chemistry,Dr. Singh
"The scholarship process is transparent and fair. Appreciated the support.",Administration,Admin
"Hostel food is unacceptable. Cold, tasteless, and unhygienic.",Facilities,Admin
